id;name;file;file_content_type
1;Investor;../fake-data/blob/hipster.png;image/png
2;Electric;../fake-data/blob/hipster.png;image/png
3;Investment Gorgeous East;../fake-data/blob/hipster.png;image/png
4;benchmark violet;../fake-data/blob/hipster.png;image/png
5;kilogram Jazz Recycled;../fake-data/blob/hipster.png;image/png
6;Intersex Classical;../fake-data/blob/hipster.png;image/png
7;Advanced regular;../fake-data/blob/hipster.png;image/png
8;dolores Cargo;../fake-data/blob/hipster.png;image/png
9;Recumbent;../fake-data/blob/hipster.png;image/png
10;withdrawal;../fake-data/blob/hipster.png;image/png
