id;title;description;due_date;date;status;type;priority
1;Demiflux Bicycle Recycled;compressing flickering Gasoline;2023-08-24;2023-08-25T10:13:39;CANNOT_REPRODUCE;BUG;HIGHEST
2;Funk Account Data;Gasoline engage;2023-08-25;2023-08-25T16:54:00;SOLVED;BUG;LOWER
3;Tugrik leverage;male pleased;2023-08-25;2023-08-25T13:04:09;WAITING_FOR_RESPONSE;FEATURE;HIGHEST
4;Intersex renege who;Maritza navigate female;2023-08-25;2023-08-25T05:23:29;IN_PROGRESS;BUG;NORMAL
5;Fluorine sane index;woot envisioneer;2023-08-25;2023-08-25T04:30:04;DUPLICATE;BUG;LOWER
6;Cotton reboot;bypass Corporate synthesize;2023-08-25;2023-08-25T19:41:50;SOLVED;BUG;NORMAL
7;Southwest Name;eyeballs definition systemic;2023-08-25;2023-08-25T21:13:03;REOPENED;FEATURE;LOWERST
8;array keenly;Bicycle;2023-08-25;2023-08-25T13:38:59;DUPLICATE;BUG;LOWER
9;Singapore Cambridgeshire Buckinghamshire;project South;2023-08-25;2023-08-25T19:14:11;CANNOT_REPRODUCE;BUG;LOW
10;Pop Illinois Virginia;turquoise Southeast Extended;2023-08-25;2023-08-25T00:11:42;VERIFIED;BUG;HIGHER
